Empresa,Receita Anual,Dívida Total,Prazo de Pagamento (dias),Setor,Rating,Notícias Recentes
Empresa 42,490188,446812,87,Saúde,A,Concorrente lançou um novo produto.
Empresa 43,622924,665872,101,Saúde,C,Oportunidades de parcerias surgindo.
Empresa 44,318430,675958,34,Agronegócio,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 45,209362,274702,113,Tecnologia,A,Setor afetado por mudanças climáticas.
Empresa 46,642945,194071,110,Alimentação,B-,Insatisfação de clientes em redes sociais.
Empresa 47,542446,220198,92,Transportes,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 48,595123,372813,63,Saúde,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 49,311023,472294,37,Comércio,D,Oportunidades de parcerias surgindo.
Empresa 50,556512,121669,27,Educação,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 51,592649,359822,84,Serviços,A,Setor afetado por mudanças climáticas.
Empresa 52,233787,479941,90,Saúde,B-,Setor afetado por mudanças climáticas.
Empresa 53,290794,589698,51,Turismo,A-,Setor afetado por mudanças climáticas.
Empresa 54,934868,339196,55,Indústria,B-,Mudanças na legislação para o setor.
Empresa 55,107897,136016,58,Saúde,C,Expansão em novos mercados anunciada.
Empresa 56,331823,200384,116,Agronegócio,B-,Expansão em novos mercados anunciada.
Empresa 57,689137,352320,104,Serviços,C+,Setor afetado por mudanças climáticas.
Empresa 58,338317,627462,16,Indústria,B+,Concorrente lançou um novo produto.
Empresa 59,209810,393995,87,Educação,B+,Setor afetado por mudanças climáticas.
Empresa 60,545334,610654,66,Turismo,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 61,369735,335286,29,Turismo,B-,Oportunidades de parcerias surgindo.
Empresa 62,104304,642729,18,Turismo,D,Aumento no custo das matérias-primas.
Empresa 63,825887,688891,49,Comércio,B,Aumento no custo das matérias-primas.
Empresa 64,863837,439145,17,Alimentação,C+,Inconsistências financeiras apontadas em auditoria.
Empresa 65,961315,472221,64,Turismo,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 66,153327,270032,36,Indústria,B,Inconsistências financeiras apontadas em auditoria.
Empresa 67,209791,137835,22,Serviços,B+,Aumento no custo das matérias-primas.
Empresa 68,877939,149001,22,Educação,B,Mudanças na legislação para o setor.
Empresa 69,511431,247453,25,Tecnologia,A-,Expansão em novos mercados anunciada.
Empresa 70,206157,612190,53,Turismo,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 71,607907,388195,116,Serviços,B,Mudanças na legislação para o setor.
Empresa 72,674201,349551,58,Agronegócio,A-,Concorrente lançou um novo produto.
Empresa 73,928025,284544,38,Serviços,A-,Concorrente lançou um novo produto.
Empresa 74,140068,562643,49,Turismo,B,Inconsistências financeiras apontadas em auditoria.
Empresa 75,612116,353741,103,Alimentação,C,Cuidado com flutuações nos preços!
Empresa 76,465394,646241,84,Indústria,A,Setor afetado por mudanças climáticas.
Empresa 77,744245,234983,81,Agronegócio,B+,Cuidado com flutuações nos preços!
Empresa 78,979562,210237,74,Turismo,A,Oportunidades de parcerias surgindo.
Empresa 79,873185,148453,108,Educação,B,Inconsistências financeiras apontadas em auditoria.
Empresa 80,504368,272691,40,Turismo,C+,Aumento no custo das matérias-primas.
Empresa 81,238349,455483,64,Serviços,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 82,853482,695874,83,Serviços,B-,Concorrente lançou um novo produto.
Empresa 83,291100,560147,32,Agronegócio,B+,Concorrente lançou um novo produto.
Empresa 84,133774,235901,112,Educação,C+,Concorrente lançou um novo produto.
Empresa 85,737249,462246,37,Serviços,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 86,150348,536874,45,Agronegócio,A-,Insatisfação de clientes em redes sociais.
Empresa 87,836030,212955,94,Agronegócio,B-,Setor afetado por mudanças climáticas.
Empresa 88,972888,550075,64,Serviços,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 89,981411,281020,40,Tecnologia,C+,Setor afetado por mudanças climáticas.
Empresa 90,926500,286405,98,Educação,D,Oportunidades de parcerias surgindo.
Empresa 91,414436,317784,58,Serviços,D,Aumento no custo das matérias-primas.
Empresa 92,186174,555630,109,Transportes,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 93,508008,420265,13,Transportes,A-,Aumento no custo das matérias-primas.
Empresa 94,525244,672059,70,Agronegócio,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 95,490025,640894,83,Agronegócio,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 96,794929,524346,85,Serviços,C,Concorrente lançou um novo produto.
Empresa 97,488596,548235,15,Alimentação,A-,Insatisfação de clientes em redes sociais.
Empresa 98,247408,421213,88,Transportes,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 99,512823,175356,50,Comércio,A-,Concorrente lançou um novo produto.
Empresa 100,451774,123408,118,Transportes,B-,Expansão em novos mercados anunciada.
Empresa 101,704524,344392,58,Indústria,C-,Insatisfação de clientes em redes sociais.
Empresa 102,969673,225182,38,Turismo,B+,Concorrente lançou um novo produto.
Empresa 103,929707,591897,99,Educação,B+,Setor afetado por mudanças climáticas.
Empresa 104,531344,209282,80,Transportes,A-,Concorrente lançou um novo produto.
Empresa 105,221589,148280,55,Serviços,A,Oportunidades de parcerias surgindo.
Empresa 106,701931,224879,61,Agronegócio,C+,Expansão em novos mercados anunciada.
Empresa 107,956595,432900,69,Educação,C-,Oportunidades de parcerias surgindo.
Empresa 108,208346,437967,77,Turismo,B+,Insatisfação de clientes em redes sociais.
Empresa 109,251595,674364,28,Transportes,D,Oportunidades de parcerias surgindo.
Empresa 110,956718,652195,102,Tecnologia,C,Insatisfação de clientes em redes sociais.
Empresa 111,226973,637054,81,Alimentação,A+,Aumento no custo das matérias-primas.
Empresa 112,316113,328268,109,Educação,B,Inconsistências financeiras apontadas em auditoria.
Empresa 113,372918,603826,58,Transportes,C-,Concorrente lançou um novo produto.
Empresa 114,403570,307852,117,Comércio,B+,Expansão em novos mercados anunciada.
Empresa 115,627448,220257,84,Serviços,B,Investimento em tecnologia de prevenção de fraudes.
Empresa 116,198690,451212,52,Alimentação,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 117,665804,391688,118,Tecnologia,A+,Concorrente lançou um novo produto.
Empresa 118,183059,682603,34,Serviços,A+,Aumento no custo das matérias-primas.
Empresa 119,919192,446286,99,Saúde,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 120,374857,430877,111,Agronegócio,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 121,660925,382388,53,Serviços,C+,Oportunidades de parcerias surgindo.
Empresa 122,215200,294806,15,Tecnologia,D,Mudanças na legislação para o setor.
Empresa 123,658936,558437,46,Comércio,B+,Insatisfação de clientes em redes sociais.
Empresa 124,419703,648165,90,Turismo,B-,Expansão em novos mercados anunciada.
Empresa 125,501100,260145,107,Transportes,A+,Insatisfação de clientes em redes sociais.
Empresa 126,546686,406928,51,Tecnologia,C,Insatisfação de clientes em redes sociais.
Empresa 127,429036,640776,102,Indústria,A,Insatisfação de clientes em redes sociais.
Empresa 128,453436,487570,39,Serviços,A+,Insatisfação de clientes em redes sociais.
Empresa 129,392697,539752,96,Educação,C,Setor afetado por mudanças climáticas.
Empresa 130,968186,121253,70,Agronegócio,C,Aumento no custo das matérias-primas.
Empresa 131,293801,122898,23,Educação,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 132,552262,156882,62,Serviços,D,Oportunidades de parcerias surgindo.
Empresa 133,102728,543821,80,Educação,D,Concorrente lançou um novo produto.
Empresa 134,103431,575452,10,Educação,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 135,694504,690849,47,Alimentação,D,Cuidado com flutuações nos preços!
Empresa 136,555850,250072,25,Turismo,B,Concorrente lançou um novo produto.
Empresa 137,583329,580051,35,Saúde,A,Concorrente lançou um novo produto.
Empresa 138,703805,680130,92,Alimentação,B-,Cuidado com flutuações nos preços!
Empresa 139,683999,274180,23,Comércio,C,Insatisfação de clientes em redes sociais.
Empresa 140,664805,187712,70,Alimentação,B,Cuidado com flutuações nos preços!
Empresa 141,565751,546774,108,Turismo,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 142,450410,297640,27,Educação,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 143,818668,503815,44,Transportes,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 144,812518,635885,76,Comércio,D,Oportunidades de parcerias surgindo.
Empresa 145,170516,657126,102,Agronegócio,A-,Expansão em novos mercados anunciada.
Empresa 146,321030,505286,114,Indústria,B-,Insatisfação de clientes em redes sociais.
Empresa 147,949690,584183,24,Indústria,B-,Aumento no custo das matérias-primas.
Empresa 148,935333,655202,97,Alimentação,A,Mudanças na legislação para o setor.
Empresa 149,847910,456881,47,Turismo,A+,Insatisfação de clientes em redes sociais.
Empresa 150,463677,553755,86,Saúde,A,Cuidado com flutuações nos preços!
Empresa 151,604526,104470,72,Educação,D,Aumento no custo das matérias-primas.
Empresa 152,937068,218012,115,Saúde,A+,Expansão em novos mercados anunciada.
Empresa 153,823976,598869,50,Indústria,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 154,254982,271273,103,Alimentação,B-,Concorrente lançou um novo produto.
Empresa 155,530905,557204,41,Educação,A-,Mudanças na legislação para o setor.
Empresa 156,654813,586267,111,Transportes,C,Mudanças na legislação para o setor.
Empresa 157,585550,246202,76,Agronegócio,C+,Cuidado com flutuações nos preços!
Empresa 158,237842,339802,60,Alimentação,D,Mudanças na legislação para o setor.
Empresa 159,759220,312155,118,Agronegócio,D,Aumento no custo das matérias-primas.
Empresa 160,813258,354601,15,Tecnologia,D,Setor afetado por mudanças climáticas.
Empresa 161,612022,405928,34,Transportes,B-,Setor afetado por mudanças climáticas.
Empresa 162,517818,576295,53,Agronegócio,A-,Expansão em novos mercados anunciada.
Empresa 163,152569,503340,56,Comércio,A,Aumento no custo das matérias-primas.
Empresa 164,450420,226856,68,Turismo,B+,Aumento no custo das matérias-primas.
Empresa 165,556936,646809,55,Indústria,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 166,349200,432569,41,Comércio,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 167,377604,175726,36,Comércio,C,Aumento no custo das matérias-primas.
Empresa 168,499115,117427,79,Educação,C-,Oportunidades de parcerias surgindo.
Empresa 169,143345,556501,52,Comércio,A-,Insatisfação de clientes em redes sociais.
Empresa 170,385606,191846,109,Tecnologia,A+,Oportunidades de parcerias surgindo.
Empresa 171,884255,656172,41,Alimentação,C,Setor afetado por mudanças climáticas.
Empresa 172,989459,479253,77,Tecnologia,A,Mudanças na legislação para o setor.
Empresa 173,447699,387017,14,Indústria,A,Aumento no custo das matérias-primas.
Empresa 174,219311,294818,45,Indústria,B-,Mudanças na legislação para o setor.
Empresa 175,641315,411222,19,Serviços,B-,Expansão em novos mercados anunciada.
Empresa 176,658476,288131,42,Indústria,C,Inconsistências financeiras apontadas em auditoria.
Empresa 177,967978,256537,108,Transportes,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 178,909309,281917,47,Indústria,B-,Cuidado com flutuações nos preços!
Empresa 179,692353,166115,86,Tecnologia,B-,Expansão em novos mercados anunciada.
Empresa 180,975589,543705,108,Transportes,D,Aumento no custo das matérias-primas.
Empresa 181,280894,484066,43,Serviços,B,Inconsistências financeiras apontadas em auditoria.
Empresa 182,689982,620246,106,Comércio,C-,Insatisfação de clientes em redes sociais.
Empresa 183,105294,448582,14,Educação,B,Oportunidades de parcerias surgindo.
Empresa 184,518426,194859,111,Comércio,D,Setor afetado por mudanças climáticas.
Empresa 185,839382,546009,35,Agronegócio,A+,Cuidado com flutuações nos preços!
Empresa 186,597871,272691,52,Saúde,C,Setor afetado por mudanças climáticas.
Empresa 187,667772,345403,110,Turismo,A-,Cuidado com flutuações nos preços!
Empresa 188,950331,643458,110,Indústria,C-,Cuidado com flutuações nos preços!
Empresa 189,394994,663200,73,Educação,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 190,686360,625345,101,Agronegócio,C-,Expansão em novos mercados anunciada.
Empresa 191,318722,653673,51,Transportes,B-,Insatisfação de clientes em redes sociais.
Empresa 192,877570,681162,31,Turismo,A+,Setor afetado por mudanças climáticas.
Empresa 193,517851,233118,51,Agronegócio,A-,Mudanças na legislação para o setor.
Empresa 194,870499,288862,33,Alimentação,C-,Expansão em novos mercados anunciada.
Empresa 195,471446,347765,32,Saúde,C+,Setor afetado por mudanças climáticas.
Empresa 196,335824,366429,66,Agronegócio,C,Mudanças na legislação para o setor.
Empresa 197,348671,578511,22,Saúde,A-,Oportunidades de parcerias surgindo.
Empresa 198,519371,308704,115,Tecnologia,B+,Insatisfação de clientes em redes sociais.
Empresa 199,764435,563322,97,Saúde,D,Mudanças na legislação para o setor.
Empresa 200,183733,314198,59,Agronegócio,A,Setor afetado por mudanças climáticas.
Empresa 201,399531,576103,96,Turismo,C-,Insatisfação de clientes em redes sociais.
Empresa 202,586646,241345,38,Serviços,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 203,662022,452173,111,Comércio,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 204,408393,522395,20,Alimentação,A-,Aumento no custo das matérias-primas.
Empresa 205,637140,531718,101,Transportes,A+,Inconsistências financeiras apontadas em auditoria.
Empresa 206,279583,410965,84,Educação,B-,Oportunidades de parcerias surgindo.
Empresa 207,152166,348710,115,Transportes,B+,Cuidado com flutuações nos preços!
Empresa 208,170923,464820,66,Turismo,B-,Oportunidades de parcerias surgindo.
Empresa 209,115724,202952,49,Alimentação,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 210,664782,240958,82,Agronegócio,C-,Aumento no custo das matérias-primas.
Empresa 211,160011,538728,61,Tecnologia,B-,Mudanças na legislação para o setor.
Empresa 212,766310,277676,15,Comércio,B-,Mudanças na legislação para o setor.
Empresa 213,319907,383201,60,Tecnologia,A,Mudanças na legislação para o setor.
Empresa 214,160335,484252,108,Serviços,B+,Mudanças na legislação para o setor.
Empresa 215,735680,270629,31,Saúde,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 216,803791,513749,109,Turismo,B+,Mudanças na legislação para o setor.
Empresa 217,225006,667951,41,Saúde,C+,Concorrente lançou um novo produto.
Empresa 218,941415,570197,92,Indústria,A+,Inconsistências financeiras apontadas em auditoria.
Empresa 219,151280,505768,114,Transportes,C-,Aumento no custo das matérias-primas.
Empresa 220,742241,291864,26,Transportes,B-,Expansão em novos mercados anunciada.
Empresa 221,630409,277064,64,Comércio,C,Mudanças na legislação para o setor.
Empresa 222,434920,236178,13,Educação,D,Inconsistências financeiras apontadas em auditoria.
Empresa 223,583733,197114,71,Alimentação,C+,Concorrente lançou um novo produto.
Empresa 224,899500,393838,36,Tecnologia,A+,Setor afetado por mudanças climáticas.
Empresa 225,691425,453862,76,Serviços,A,Cuidado com flutuações nos preços!
Empresa 226,845764,353476,52,Educação,B-,Expansão em novos mercados anunciada.
Empresa 227,877983,621226,47,Serviços,A+,Insatisfação de clientes em redes sociais.
Empresa 228,257207,172808,75,Tecnologia,C,Expansão em novos mercados anunciada.
Empresa 229,143931,473118,14,Educação,D,Concorrente lançou um novo produto.
Empresa 230,761124,311863,64,Transportes,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 231,224483,337031,114,Saúde,A-,Mudanças na legislação para o setor.
Empresa 232,581349,557544,64,Indústria,C-,Oportunidades de parcerias surgindo.
Empresa 233,213470,610675,89,Comércio,A,Setor afetado por mudanças climáticas.
Empresa 234,869063,133896,28,Serviços,C,Setor afetado por mudanças climáticas.
Empresa 235,822505,395921,37,Tecnologia,D,Insatisfação de clientes em redes sociais.
Empresa 236,744520,256637,43,Alimentação,B-,Oportunidades de parcerias surgindo.
Empresa 237,125647,282652,13,Alimentação,A-,Setor afetado por mudanças climáticas.
Empresa 238,831519,100827,70,Saúde,B,Setor afetado por mudanças climáticas.
Empresa 239,235082,589850,85,Turismo,C-,Cuidado com flutuações nos preços!
Empresa 240,960173,200798,105,Tecnologia,B,Oportunidades de parcerias surgindo.
Empresa 241,696572,238260,32,Serviços,A+,Aumento no custo das matérias-primas.
Empresa 242,112490,595901,112,Serviços,C-,Mudanças na legislação para o setor.
Empresa 243,642305,403935,43,Alimentação,D,Setor afetado por mudanças climáticas.
Empresa 244,403353,593417,20,Transportes,C+,Aumento no custo das matérias-primas.
Empresa 245,268224,131646,47,Educação,C,Inconsistências financeiras apontadas em auditoria.
Empresa 246,659081,195880,79,Indústria,B-,Mudanças na legislação para o setor.
Empresa 247,818630,300535,79,Agronegócio,C+,Aumento no custo das matérias-primas.
Empresa 248,470052,139208,22,Alimentação,C+,Cuidado com flutuações nos preços!
Empresa 249,234053,360673,76,Turismo,A,Mudanças na legislação para o setor.
Empresa 250,559844,326859,85,Serviços,B-,Aumento no custo das matérias-primas.
Empresa 251,840109,192435,77,Turismo,C+,Oportunidades de parcerias surgindo.
Empresa 252,151777,630404,80,Tecnologia,B-,Aumento no custo das matérias-primas.
Empresa 253,716355,203716,112,Tecnologia,C-,Oportunidades de parcerias surgindo.
Empresa 254,244241,639331,103,Indústria,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 255,467639,284282,78,Alimentação,B+,Cuidado com flutuações nos preços!
Empresa 256,511465,164383,45,Agronegócio,C,Oportunidades de parcerias surgindo.
Empresa 257,771094,423048,98,Alimentação,B+,Mudanças na legislação para o setor.
Empresa 258,192157,328232,104,Comércio,C,Setor afetado por mudanças climáticas.
Empresa 259,963730,440698,73,Saúde,D,Concorrente lançou um novo produto.
Empresa 260,169621,386129,116,Transportes,C,Oportunidades de parcerias surgindo.
Empresa 261,724017,455620,98,Serviços,C+,Insatisfação de clientes em redes sociais.
Empresa 262,234867,408219,67,Agronegócio,B-,Setor afetado por mudanças climáticas.
Empresa 263,784978,681823,13,Indústria,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 264,822383,114212,27,Turismo,A,Aumento no custo das matérias-primas.
Empresa 265,665923,152317,74,Transportes,A+,Cuidado com flutuações nos preços!
Empresa 266,326024,603991,49,Agronegócio,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 267,838257,235497,61,Educação,C,Mudanças na legislação para o setor.
Empresa 268,482259,676236,85,Tecnologia,B,Expansão em novos mercados anunciada.
Empresa 269,325832,603985,40,Educação,C-,Oportunidades de parcerias surgindo.
Empresa 270,224638,409118,73,Agronegócio,C+,Concorrente lançou um novo produto.
Empresa 271,576923,460565,46,Indústria,D,Mudanças na legislação para o setor.
Empresa 272,478595,326326,73,Transportes,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 273,661715,562448,54,Agronegócio,D,Oportunidades de parcerias surgindo.
Empresa 274,123422,123108,10,Educação,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 275,315471,303946,23,Tecnologia,B,Concorrente lançou um novo produto.
Empresa 276,477597,338799,63,Indústria,C,Mudanças na legislação para o setor.
Empresa 277,454945,144159,78,Comércio,B,Setor afetado por mudanças climáticas.
Empresa 278,126712,521094,102,Saúde,B,Setor afetado por mudanças climáticas.
Empresa 279,818492,644832,45,Saúde,A,Cuidado com flutuações nos preços!
Empresa 280,216344,100522,81,Comércio,A+,Insatisfação de clientes em redes sociais.
Empresa 281,902340,317708,66,Turismo,B,Setor afetado por mudanças climáticas.
Empresa 282,507785,337428,119,Transportes,C+,Inconsistências financeiras apontadas em auditoria.
Empresa 283,437126,389545,44,Turismo,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 284,173412,249820,112,Serviços,C-,Concorrente lançou um novo produto.
Empresa 285,463802,355899,49,Transportes,A-,Concorrente lançou um novo produto.
Empresa 286,357118,417919,75,Educação,C,Setor afetado por mudanças climáticas.
Empresa 287,726234,249262,89,Indústria,D,Setor afetado por mudanças climáticas.
Empresa 288,854473,395708,95,Serviços,A,Cuidado com flutuações nos preços!
Empresa 289,512554,241870,106,Educação,A,Expansão em novos mercados anunciada.
Empresa 290,378347,503885,113,Comércio,A-,Setor afetado por mudanças climáticas.
Empresa 291,367954,405231,16,Transportes,A+,Expansão em novos mercados anunciada.
Empresa 292,678497,107740,74,Educação,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 293,585515,401585,58,Alimentação,C+,Inconsistências financeiras apontadas em auditoria.
Empresa 294,144829,377185,17,Agronegócio,B,Mudanças na legislação para o setor.
Empresa 295,877920,136929,78,Indústria,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 296,983973,453289,79,Alimentação,A,Expansão em novos mercados anunciada.
Empresa 297,643805,341310,66,Tecnologia,A-,Cuidado com flutuações nos preços!
Empresa 298,984126,597753,40,Educação,C,Oportunidades de parcerias surgindo.
Empresa 299,685488,419488,26,Turismo,A-,Cuidado com flutuações nos preços!
Empresa 300,508091,552252,19,Comércio,C+,Insatisfação de clientes em redes sociais.
Empresa 301,775233,312193,82,Turismo,A-,Oportunidades de parcerias surgindo.
Empresa 302,983818,144076,48,Turismo,A,Cuidado com flutuações nos preços!
Empresa 303,799566,114559,82,Alimentação,C-,Insatisfação de clientes em redes sociais.
Empresa 304,121274,453417,28,Saúde,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 305,869765,146802,63,Educação,B-,Mudanças na legislação para o setor.
Empresa 306,834377,689244,80,Indústria,A,Oportunidades de parcerias surgindo.
Empresa 307,900768,325689,64,Serviços,A,Insatisfação de clientes em redes sociais.
Empresa 308,203658,443545,62,Tecnologia,C+,Oportunidades de parcerias surgindo.
Empresa 309,393397,273266,27,Saúde,C-,Expansão em novos mercados anunciada.
Empresa 310,268176,530166,46,Transportes,B-,Setor afetado por mudanças climáticas.
Empresa 311,127769,180401,91,Agronegócio,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 312,378311,146059,54,Tecnologia,A+,Oportunidades de parcerias surgindo.
Empresa 313,780880,109786,76,Agronegócio,C,Cuidado com flutuações nos preços!
Empresa 314,564396,684476,50,Agronegócio,B,Oportunidades de parcerias surgindo.
Empresa 315,234644,519651,54,Serviços,B+,Expansão em novos mercados anunciada.
Empresa 316,790042,686221,117,Alimentação,B-,Mudanças na legislação para o setor.
Empresa 317,168387,148254,65,Comércio,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 318,370528,441519,38,Tecnologia,B-,Mudanças na legislação para o setor.
Empresa 319,370736,258031,90,Comércio,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 320,231486,145171,44,Turismo,C-,Mudanças na legislação para o setor.
Empresa 321,659914,431950,95,Comércio,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 322,973389,337594,96,Comércio,C+,Insatisfação de clientes em redes sociais.
Empresa 323,226054,698209,61,Saúde,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 324,879816,275364,76,Alimentação,D,Setor afetado por mudanças climáticas.
Empresa 325,914662,681427,22,Comércio,B,Expansão em novos mercados anunciada.
Empresa 326,520583,475845,88,Serviços,A+,Insatisfação de clientes em redes sociais.
Empresa 327,795590,234373,85,Educação,C-,Insatisfação de clientes em redes sociais.
Empresa 328,336377,393545,54,Educação,B,Cuidado com flutuações nos preços!
Empresa 329,690229,151674,34,Saúde,C,Oportunidades de parcerias surgindo.
Empresa 330,495815,231035,105,Indústria,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 331,977011,314840,45,Alimentação,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 332,478052,532123,71,Saúde,C+,Insatisfação de clientes em redes sociais.
Empresa 333,276206,356147,84,Educação,C,Concorrente lançou um novo produto.
Empresa 334,577564,442296,110,Saúde,A,Inconsistências financeiras apontadas em auditoria.
Empresa 335,522373,344351,66,Saúde,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 336,356034,343342,79,Educação,A,Insatisfação de clientes em redes sociais.
Empresa 337,764267,156202,55,Transportes,B,Concorrente lançou um novo produto.
Empresa 338,629766,536254,10,Saúde,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 339,494318,143674,119,Transportes,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 340,121984,441722,55,Agronegócio,C,Inconsistências financeiras apontadas em auditoria.
Empresa 341,517396,100024,112,Tecnologia,B+,Insatisfação de clientes em redes sociais.
Empresa 342,350271,353093,28,Alimentação,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 343,510941,623824,90,Agronegócio,A+,Oportunidades de parcerias surgindo.
Empresa 344,615187,289293,82,Educação,A-,Mudanças na legislação para o setor.
